Vp (volts),Ip (amperes),Ttop (Celsius),Tbottom (Celsius),Take,R (ohms)
0.278,0.305,18.7,23.4,1,0.700668852
0.278,0.305,18.7,23.4,2,0.700668852
0.279,0.305,18.6,23.4,3,0.699462295
0.279,0.305,18.6,23.4,4,0.699462295
0.279,0.305,18.6,23.4,5,0.699462295
0.279,0.305,18.6,23.4,6,0.699462295
0.28,0.305,18.6,23.4,7,0.702740984
0.28,0.305,18.6,23.4,8,0.702740984
0.28,0.305,18.5,23.4,9,0.698255738
0.28,0.305,18.5,23.4,10,0.698255738
0.28,0.305,18.5,23.4,11,0.698255738
0.281,0.305,18.5,23.3,12,0.706019672
0.281,0.305,18.5,23.4,13,0.701534426
0.281,0.305,18.5,23.3,14,0.706019672
0.281,0.305,18.4,23.4,15,0.69704918
0.281,0.305,18.4,23.3,16,0.701534426
0.281,0.305,18.4,23.4,17,0.69704918
0.281,0.305,18.4,23.3,18,0.701534426
0.281,0.305,18.4,23.4,19,0.69704918
0.281,0.305,18.3,23.4,20,0.692563934
0.281,0.305,18.3,23.3,21,0.69704918
0.281,0.305,18.3,23.4,22,0.692563934
0.281,0.305,18.3,23.3,23,0.69704918
0.281,0.305,18.3,23.3,24,0.69704918
0.281,0.305,18.3,23.4,25,0.692563934
0.281,0.304,18.3,23.3,26,0.699342105
0.281,0.305,18.3,23.3,27,0.69704918
0.281,0.305,18.2,23.3,28,0.692563934
0.281,0.304,18.2,23.3,29,0.694842105
0.281,0.304,18.2,23.3,30,0.694842105
0.281,0.305,18.2,23.3,31,0.692563934
0.281,0.304,18.2,23.3,32,0.694842105
0.281,0.305,18.2,23.3,33,0.692563934
0.281,0.304,18.2,23.3,34,0.694842105
0.282,0.304,18.2,23.3,35,0.698131579
0.281,0.304,18.2,23.3,36,0.694842105
0.281,0.304,18.2,23.3,37,0.694842105
0.281,0.305,18.2,23.3,38,0.692563934
0.281,0.305,18.1,23.3,39,0.688078689
0.281,0.304,18.1,23.3,40,0.690342105
0.281,0.304,18.1,23.3,41,0.690342105
0.281,0.305,18.1,23.3,42,0.688078689
0.281,0.305,18.1,23.3,43,0.688078689
0.282,0.305,18.1,23.3,44,0.691357377
0.282,0.304,18.1,23.3,45,0.693631579
0.282,0.305,18.1,23.3,46,0.691357377
0.282,0.304,18.1,23.3,47,0.693631579
0.282,0.304,18.1,23.2,48,0.698131579
0.282,0.304,18.1,23.3,49,0.693631579
0.282,0.304,18,23.3,50,0.689131579
0.281,0.305,18,23.2,51,0.688078689
0.281,0.304,18,23.3,52,0.685842105
0.282,0.304,18,23.2,53,0.693631579
0.282,0.304,18,23.2,54,0.693631579
0.282,0.305,18,23.2,55,0.691357377
0.283,0.304,18,23.2,56,0.696921053
0.282,0.305,18,23.2,57,0.691357377
0.282,0.305,18,23.3,58,0.686872131
0.282,0.305,18,23.2,59,0.691357377
0.282,0.304,18,23.2,60,0.693631579
0.282,0.304,18,23.2,61,0.693631579
0.282,0.304,18,23.2,62,0.693631579
0.281,0.304,18,23.2,63,0.690342105
0.282,0.304,18,23.2,64,0.693631579
0.282,0.305,18,23.2,65,0.691357377
0.282,0.305,18,23.2,66,0.691357377
0.282,0.304,18,23.2,67,0.693631579
0.282,0.305,18,23.2,68,0.691357377
0.281,0.305,17.9,23.2,69,0.683593443
0.281,0.304,17.9,23.2,70,0.685842105
0.281,0.304,17.9,23.2,71,0.685842105
0.281,0.304,17.9,23.2,72,0.685842105
0.281,0.304,17.9,23.2,73,0.685842105
0.281,0.304,17.9,23.2,74,0.685842105
0.281,0.305,17.9,23.2,75,0.683593443
0.281,0.305,17.9,23.2,76,0.683593443
0.282,0.305,17.9,23.1,77,0.691357377
0.281,0.305,17.9,23.2,78,0.683593443
0.281,0.305,17.9,23.2,79,0.683593443
0.281,0.305,17.9,23.1,80,0.688078689
0.281,0.305,17.9,23.2,81,0.683593443
0.281,0.305,17.9,23.2,82,0.683593443
0.281,0.305,17.9,23.1,83,0.688078689
0.281,0.305,17.9,23.2,84,0.683593443
0.281,0.305,17.9,23.2,85,0.683593443
0.282,0.304,17.9,23.2,86,0.689131579
0.281,0.305,17.9,23.1,87,0.688078689
0.282,0.305,17.9,23.2,88,0.686872131
0.282,0.305,17.9,23.2,89,0.686872131
0.282,0.305,17.9,23.1,90,0.691357377
0.281227273,0.304727273,17.9,23.17727273,Rep. ave.,0.685971735
