Vp (volts),Ip (amperes),Ttop (Celsius),Tbottom (Celsius),Take,
0.315,0.348,17.8,23.2,1,0.692896552
0.316,0.348,17.8,23.2,2,0.695770115
0.316,0.348,17.8,23.1,3,0.699701149
0.317,0.349,17.8,23.2,4,0.696641834
0.317,0.348,17.8,23.2,5,0.698643678
0.317,0.348,17.7,23.1,6,0.698643678
0.317,0.348,17.7,23.1,7,0.698643678
0.317,0.348,17.7,23.2,8,0.694712644
0.317,0.348,17.7,23.2,9,0.694712644
0.318,0.348,17.7,23.1,10,0.701517241
0.318,0.348,17.7,23.1,11,0.701517241
0.318,0.348,17.6,23.2,12,0.693655172
0.318,0.348,17.6,23.1,13,0.697586207
0.318,0.348,17.6,23.2,14,0.693655172
0.318,0.348,17.6,23.2,15,0.693655172
0.318,0.348,17.6,23.1,16,0.697586207
0.319,0.348,17.5,23.2,17,0.692597701
0.318,0.348,17.5,23.2,18,0.689724138
0.319,0.348,17.5,23.2,19,0.692597701
0.319,0.348,17.5,23.2,20,0.692597701
0.319,0.348,17.5,23.1,21,0.696528736
0.319,0.348,17.5,23.1,22,0.696528736
0.319,0.348,17.4,23.2,23,0.688666667
0.319,0.348,17.4,23.1,24,0.692597701
0.319,0.348,17.4,23.2,25,0.688666667
0.319,0.348,17.4,23.2,26,0.688666667
0.319,0.348,17.4,23.1,27,0.692597701
0.319,0.348,17.4,23.1,28,0.692597701
0.319,0.348,17.4,23.1,29,0.692597701
0.319,0.348,17.3,23.1,30,0.688666667
0.319,0.348,17.3,23.1,31,0.688666667
0.319,0.348,17.3,23.1,32,0.688666667
0.319,0.348,17.3,23.1,33,0.688666667
0.319,0.348,17.3,23,34,0.692597701
0.319,0.348,17.3,23.1,35,0.688666667
0.319,0.348,17.3,23.1,36,0.688666667
0.319,0.348,17.3,23.1,37,0.688666667
0.319,0.348,17.3,23.1,38,0.688666667
0.319,0.348,17.2,23.1,39,0.684735632
0.319,0.348,17.2,23.1,40,0.684735632
0.319,0.348,17.2,23.1,41,0.684735632
0.319,0.348,17.2,23.1,42,0.684735632
0.319,0.348,17.2,23.1,43,0.684735632
0.319,0.348,17.2,23,44,0.688666667
0.319,0.348,17.2,23.1,45,0.684735632
0.319,0.348,17.2,23.1,46,0.684735632
0.319,0.348,17.2,23.1,47,0.684735632
0.319,0.348,17.2,23.1,48,0.684735632
0.319,0.348,17.2,23.1,49,0.684735632
0.319,0.348,17.1,23.1,50,0.680804598
0.319,0.348,17.2,23.1,51,0.684735632
0.319,0.348,17.1,23.1,52,0.680804598
0.32,0.348,17.1,23.1,53,0.683678161
0.319,0.348,17.1,23.1,54,0.680804598
0.319,0.348,17.1,23,55,0.684735632
0.32,0.348,17.1,23,56,0.687609195
0.32,0.348,17.1,23.1,57,0.683678161
0.32,0.348,17.1,23,58,0.687609195
0.32,0.348,17.1,23,59,0.687609195
0.32,0.348,17.1,23,60,0.687609195
0.32,0.348,17.1,23,61,0.687609195
0.32,0.348,17.1,23,62,0.687609195
0.319,0.348,17.1,23,63,0.684735632
0.32,0.348,17.1,23,64,0.687609195
0.32,0.348,17,23,65,0.683678161
0.32,0.348,17,23,66,0.683678161
0.32,0.348,17,23,67,0.683678161
0.32,0.348,17,23,68,0.683678161
0.32,0.348,17,23.1,69,0.679747126
0.32,0.348,17,23,70,0.683678161
0.32,0.348,17,23,71,0.683678161
0.32,0.348,17,23,72,0.683678161
0.32,0.348,17,23,73,0.683678161
0.32,0.348,17,23,74,0.683678161
0.32,0.348,17,23,75,0.683678161
0.32,0.348,17,23,76,0.683678161
0.32,0.348,17,23,77,0.683678161
0.32,0.348,17,23,78,0.683678161
0.32,0.348,16.9,23,79,0.679747126
0.32,0.348,17,23,80,0.683678161
0.32,0.348,16.9,23,81,0.679747126
0.32,0.348,16.9,23,82,0.679747126
0.32,0.348,16.9,22.9,83,0.683678161
0.32,0.348,17,22.9,84,0.687609195
0.32,0.348,16.9,22.9,85,0.683678161
0.319652174,0.348,17.0673913,23.02826087,Rep. ave.,0.684216892
