Vh (volts),Ih (amperes),Ip (amperes),Th=Tc (celsius),Qc-remove (watts),(Qc-remove)/Ip (volts),unc Vh (volts),unc Ih (amperes),unc Ip (amperes),unc Qc-remove (watts),unc (Qc-removed)/Ip (volts),Pup (watts),unc Pup (watts),Qnet-power (watts),unc Qnet-power (watts),(Qnet-power/Ip) (volts),unc (Qnet-power/Ip) (volts),y == Qnet + 0.5Rp{IpSqrd} (watts)),unc IpSqrd,unc 0.5Rp{IpSqrd} (watts),unc y (watts)
25.32,0.135,0.916,36.7,3.4182,3.731659389,0.01,0.001,0.001,0.025355964,0.027979354,-0.04806,-0.031939229,3.37014,0.040780378,3.67919214,0.129459743,3.65961432,0.001832,0.003415218,0.040923135
24.67,0.131,0.886,33.8,3.23177,3.647595937,0.01,0.001,0.001,0.024704757,0.028185761,-0.04806,-0.031939229,3.18371,0.040378699,3.593352144,0.129037086,3.45453362,0.001772,0.003198943,0.040505217
24.39,0.13,0.953,34.8,3.1707,3.327072403,0.01,0.001,0.001,0.024424621,0.025865879,-0.04806,-0.031939229,3.12264,0.040207915,3.276642183,0.114218874,3.435972105,0.001906,0.003691869,0.040377052
24.07,0.128,0.797,34.6,3.08096,3.865696361,0.01,0.001,0.001,0.02410401,0.030629892,-0.04806,-0.031939229,3.0329,0.040013968,3.805395232,0.143840335,3.252047105,0.001594,0.002599667,0.040098328
23.76,0.126,0.752,34.5,2.99376,3.98106383,0.01,0.001,0.001,0.023793386,0.032079972,-0.04806,-0.031939229,2.9457,0.039827623,3.917154255,0.152346271,3.14079888,0.001504,0.002320766,0.039895181
23.39,0.124,0.73,34.2,2.90036,3.97309589,0.01,0.001,0.001,0.023422846,0.032544416,-0.04806,-0.031939229,2.8523,0.039607373,3.907260274,0.154457279,3.0361505,0.00146,0.002190304,0.039667889
22.79,0.122,0.696,33.9,2.78038,3.994798851,0.01,0.001,0.001,0.022822631,0.033289672,-0.04806,-0.031939229,2.73232,0.039255405,3.925747126,0.15913538,2.89944352,0.001392,0.00199629,0.039306132
22.19,0.119,0.661,33.9,2.64061,3.994871407,0.01,0.001,0.001,0.022221886,0.034157509,-0.04806,-0.031939229,2.59255,0.038909209,3.922163389,0.163517146,2.743287745,0.001322,0.001806216,0.03895111
21.63,0.116,0.619,33.1,2.50908,4.053441034,0.01,0.001,0.001,0.021661083,0.035601098,-0.04806,-0.031939229,2.46102,0.038591668,3.975799677,0.171532048,2.593210545,0.001238,0.001591044,0.038624452
21.19,0.113,0.578,32.4,2.39447,4.142681661,0.01,0.001,0.001,0.021220108,0.037406061,-0.04806,-0.031939229,2.34641,0.038345891,4.059532872,0.181419644,2.46166898,0.001156,0.001394579,0.038371242
