Vh (volts),Ih (amperes),Ip (amperes),Th=Tc (celsius),Qc-remove (watts),(Qc-remove)/Ip (volts),unc Vh (volts),unc Ih (amperes),unc Ip (amperes),unc Qc-remove (watts),unc (Qc-removed)/Ip (volts),Pup (watts),unc Pup (watts),Qnet-power (watts),unc Qnet-power (watts),(Qnet-power/Ip) (volts),unc (Qnet-power/Ip) (volts)
25.32,0.135,0.916,36.7,3.4182,3.731659389,0.01,0.001,0.001,0.025355964,0.027979354,-0.0291,-0.019339087,3.3891,0.031889265,3.69989083,0.127108301
24.67,0.131,0.886,33.8,3.23177,3.647595937,0.01,0.001,0.001,0.024704757,0.028185761,-0.0291,-0.019339087,3.20267,0.031373959,3.614751693,0.126497381
24.39,0.13,0.953,34.8,3.1707,3.327072403,0.01,0.001,0.001,0.024424621,0.025865879,-0.0291,-0.019339087,3.1416,0.03115385,3.296537251,0.11167703
24.07,0.128,0.797,34.6,3.08096,3.865696361,0.01,0.001,0.001,0.02410401,0.030629892,-0.0291,-0.019339087,3.05186,0.030903132,3.829184442,0.141070034
23.76,0.126,0.752,34.5,2.99376,3.98106383,0.01,0.001,0.001,0.023793386,0.032079972,-0.0291,-0.019339087,2.96466,0.030661466,3.942367021,0.149433436
23.39,0.124,0.73,34.2,2.90036,3.97309589,0.01,0.001,0.001,0.023422846,0.032544416,-0.0291,-0.019339087,2.87126,0.030374825,3.933232877,0.151405278
22.79,0.122,0.696,33.9,2.78038,3.994798851,0.01,0.001,0.001,0.022822631,0.033289672,-0.0291,-0.019339087,2.75128,0.029914425,3.952988506,0.155880217
22.19,0.119,0.661,33.9,2.64061,3.994871407,0.01,0.001,0.001,0.022221886,0.034157509,-0.0291,-0.019339087,2.61151,0.029458657,3.950847201,0.160002231
21.63,0.116,0.619,33.1,2.50908,4.053441034,0.01,0.001,0.001,0.021661083,0.035601098,-0.0291,-0.019339087,2.47998,0.029037954,4.006429725,0.167725836
21.19,0.113,0.578,32.4,2.39447,4.142681661,0.01,0.001,0.001,0.021220108,0.037406061,-0.0291,-0.019339087,2.36537,0.028710508,4.09233564,0.17731818
