Vh (volts),Ih (volts),Vs (volts),Ttop (Celsius),Tbottom (Celsius),DeltaT,unc Vh (volts),unc Ih (amperes),unc Vs (volts),unc Ttop (Celsius),unc Tbottom (Celsius),unc DeltaT,Qh-power (watts),unc Qh-power (watts)
25.42,0.135,0.091,8.8,8.2,0.6,0.01,0.001,0.001,0.5,0.5,0.707106781,3.4317,0.025455823
25.42,0.135,0.127,10.3,8.2,2.1,0.01,0.001,0.001,0.5,0.5,0.707106781,3.4317,0.025455823
25.42,0.135,0.154,12.5,8.2,4.3,0.01,0.001,0.001,0.5,0.5,0.707106781,3.4317,0.025455823
25.42,0.135,0.135,14.6,8.2,6.4,0.01,0.001,0.001,0.5,0.5,0.707106781,3.4317,0.025455823
25.42,0.135,0.191,16.2,8.2,8,0.01,0.001,0.001,0.5,0.5,0.707106781,3.4317,0.025455823
25.42,0.135,0.203,17.6,8.1,9.5,0.01,0.001,0.001,0.5,0.5,0.707106781,3.4317,0.025455823
25.42,0.135,0.213,18.9,8.2,10.7,0.01,0.001,0.001,0.5,0.5,0.707106781,3.4317,0.025455823
25.42,0.135,0.221,19.8,8.2,11.6,0.01,0.001,0.001,0.5,0.5,0.707106781,3.4317,0.025455823
25.42,0.135,0.228,20.9,8.1,12.8,0.01,0.001,0.001,0.3,0.5,0.707106781,3.4317,0.025455823
25.42,0.135,0.233,21.5,8.1,13.4,0.01,0.001,0.001,0.3,0.5,0.707106781,3.4317,0.025455823
25.42,0.135,0.237,22.2,8.2,14,0.01,0.001,0.001,0.3,0.5,0.707106781,3.4317,0.025455823
25.42,0.135,0.24,22.7,8.2,14.5,0.01,0.001,0.001,0.3,0.5,0.707106781,3.4317,0.025455823
25.42,0.135,0.244,23.1,8.3,14.8,0.01,0.001,0.001,0.3,0.5,0.707106781,3.4317,0.025455823
25.42,0.135,0.246,23.5,8.3,15.2,0.01,0.001,0.001,0.3,0.5,0.707106781,3.4317,0.025455823
25.42,0.135,0.248,23.9,8.3,15.6,0.01,0.001,0.001,0.3,0.5,0.707106781,3.4317,0.025455823
25.42,0.135,0.25,24,8.3,15.7,0.01,0.001,0.001,0.3,0.5,0.707106781,3.4317,0.025455823
25.42,0.135,0.252,24.3,8.3,16,0.01,0.001,0.001,0.3,0.5,0.707106781,3.4317,0.025455823
25.42,0.136,0.253,24.5,8.3,16.2,0.01,0.001,0.001,0.3,0.5,0.707106781,3.45712,0.025456355
25.42,0.134,0.254,24.7,8.4,16.3,0.01,0.001,0.001,0.3,0.5,0.707106781,3.40628,0.025455294
19.77,0.107,0.233,24.9,8.7,16.2,0.01,0.001,0.001,0.3,0.5,0.707106781,2.11539,0.019798934
19.77,0.107,0.217,24.4,8.6,15.8,0.01,0.001,0.001,0.3,0.5,0.707106781,2.11539,0.019798934
19.77,0.107,0.207,23.9,8.6,15.3,0.01,0.001,0.001,0.3,0.5,0.707106781,2.11539,0.019798934
19.77,0.107,0.199,23.1,8.6,14.5,0.01,0.001,0.001,0.3,0.5,0.707106781,2.11539,0.019798934
19.77,0.107,0.194,22.5,8.6,13.9,0.01,0.001,0.001,0.3,0.5,0.707106781,2.11539,0.019798934
